Sample	PlateName	Row	Column	COMPLEX	MEADOW_ID	MEADOW_AREA	PROP_FOREST_50	PROP_FOREST_100	PROP_FOREST_500	STRATUM	X_COORD	Y_COORD	ELEVATION	PL_IN_5M	COVER	FLW_STATUS	NOTES	
s328	6690	C	9	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568267	4903339	1545	7	16	F		
s329	6690	F	11	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568250	4903321	1534	2	0	F		
s332	6690	H	6	CM	CMX41A	25439.3	0.21	0.24	0.86	LgC	568157	4903319	1513	4	8	V	AQUFOR 8	
s301	6689	E	4	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568069	4903442	1517	8	44	V	AQUFOR 9	
s305	6690	B	5	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568062	4903432	1509	1	12	V	AQUFOR 4	
s307	6689	D	10	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568110	4903305	1511	6	26	F		
s312	6689	G	6	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568025	4903445	1502	0	46	V	AQUFOR 3	
s319	6690	B	10	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568071	4903435	1509	5	19	F	AQUFOR 7	
s321	6690	F	10	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568067	4903441	1513	11	58	F		
s335	6690	D	5	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568062	4903433	1518	9	37	F	AQUFOR 10	
s339	6690	C	2	CM	CMX41C	12717.7	0.84	0.84	0.86	LgI	568112	4903223	1511	4	20	F		
s315	6689	C	1	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567702	4903241	1339	1	4	V	AQUFOR 3	
s316	6689	D	12	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567713	4903263	1347	6	32	F		
s317	6689	C	6	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567658	4903243	1333	4	17	F		
s322	6690	H	1	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567719	4903243	1345	0	17	F		
s330	6689	F	5	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567703	4903236	1344	1	70	F	AQUFOR 11	
s337	6689	H	4	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567714	4903265	1340	2	44	V	AQUFOR 6	
s338	6689	G	7	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567691	4903233	1340	0	5	F	AQUFOR 8	
s340	6690	F	7	CM	CMX43	7530.5	0.24	0.74	0.93	LgI	567703	4903271	1342	18	50	F	AQUFOR 1	
s299	6689	D	11	LOM	LOMCAGE	306	1	1	0.87	SmI	571397	4895434	1360	5	12	F	IB 3	
s300	6689	D	6	LOM	LOMCAGE	306	1	1	0.87	SmI	571393	4895432	1359	2	3	F		
s302	6689	A	12	LOM	LOMCAGE	306	1	1	0.87	SmI	571407	4895441	1359	4	25	V	IB 12	
s304	6689	A	5	LOM	LOMCAGE	306	1	1	0.87	SmI	571393	4895430	1358	2	17	V	IB 11	
s311	6689	A	1	LOM	LOMCAGE	306	1	1	0.87	SmI	571404	4895429	1358	8	4	V	IB 9	
s244	6689	H	1	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569718	4895139	1472	3	39			
s251	6689	C	10	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569703	4895162	1480	0	28			
s261	6690	C	4	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569733	4895129	1471	3	53			
s263	6689	A	7	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569699	4895145	1471	1	78		Aphids	
s264	6690	H	8	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569702	4895137	1486	2	36			
s265	6690	G	12	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569729	4895129	1475	3	37			
s271	6689	F	7	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569708	4895132	1484	1	47			
s273	6689	A	9	LOM	LOMM14	611.8	0.19	0.28	0.67	SmC	569701	4895140	1480	1	64			
s196	6689	B	1	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569705	4894914	1482	3	7		AQUFOR 5	
s197	6690	B	12	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569708	4894933	1477	10	8			
s200	6689	D	2	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569702	4894917	1482	2	26			
s206	6690	C	10	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569709	4894924	1479	2	19			
s208	6689	H	2	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569718	4894921	1477	2	21			
s213	6690	A	7	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569714	4894925	1482	5	13		AQUFOR 7	
s219	6690	F	2	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569717	4893946	1475	4	7			
s227	6689	E	9	LOM	LOMM27	929.7	0.2	0.35	0.75	SmC	569721	4894948	1470	15	1			
s193	6689	E	3	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570379	4895240	1280	20	51			
s215	6689	C	2	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570380	4895273	1272	0	39			
s231	6690	F	12	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570380	4895231	NA	20	45			
s235	6689	G	2	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570380	4895229	1273	20	25			
s236	6690	E	5	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570373	4895268	1275	10	63			
s238	6689	G	12	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570378	4895233	1285	15	29			
s239	6690	G	10	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570375	4895291	1274	10	39			
s241	6689	C	5	LOM	LOMMWS	234.4	0.27	0.39	0.83	SmC	570396	4895260	1282	3	62			
s249	6690	E	2	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569492	4895132	1467	3	44	F		
s255	6690	E	4	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569497	4895133	1465	3	52	V		
s257	6690	G	8	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569499	4895136	1471	4	39	F		
s267	6690	C	7	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569532	4895095	1466	1	64	F		
s274	6689	D	1	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569525	4895096	1472	1	76	F		
s280	6689	G	3	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569508	4895135	1475	3	41	F		
s281	6690	B	2	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569507	4895126	1484	3	23	F		
s289	6689	H	12	LOM	LOMW1	1178.1	0.89	0.92	0.65	SmI	569502	4895132	1473	3	60	V		
s250	6689	E	6	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569399	4894841	1484	2	69	F		
s254	6689	F	8	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569406	4894836	1479	2	76	V		
s259	6689	G	8	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569403	4894845	1490	4	71	V		
s268	6690	C	8	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569397	4894840	1481	2	68	F		
s269	6690	D	10	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569404	4894836	1483	3	73	V		
s272	6689	A	11	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569402	4894844	1484	3	78	F		
s275	6689	F	12	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569402	4894841	1478	3	72	F		
s277	6690	F	1	LOM	LOMX15E	2839.6	0.66	0.72	0.74	LgI	569400	4894841	1485	3	73	F		
s195	6689	H	3	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569674	4895011	1488	0	1			
s201	6690	A	9	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569685	4895005	1493	5	3			
s209	6690	B	11	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569678	4895028	1490	1	31			
s242	6690	E	1	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569669	4895038	1493	1	24		AQUFOR 2	
s245	6689	A	3	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569673	4895004	1492	2	2			
s247	6690	H	10	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569670	4895040	1493	1	22		AQUFOR 1	
s252	6690	G	7	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569670	4895062	1500	1	25		AQUFOR 5	
s258	6690	A	8	LOM	LOMX4A	17181.4	0	0.37	0.7	LgC	569669	4895004	1489	0	12			
s361	6690	F	6	M1	M1LG1	128.8	1	0.99	0.61	SmI	571493	4898588	1433	6	34	F		
s365	6689	D	8	M1	M1LG1	128.8	1	0.99	0.61	SmI	571517	4898592	1432	1	24	V		
s369	6690	D	9	M1	M1LG1	128.8	1	0.99	0.61	SmI	571485	4898581	1435	6	13	F		
s371	6689	D	5	M1	M1LG1	128.8	1	0.99	0.61	SmI	571488	4898580	1433	6	32	V		
s376	6689	A	10	M1	M1LG1	128.8	1	0.99	0.61	SmI	571512	4898606	1424	6	47	F		
s377	6689	C	3	M1	M1LG1	128.8	1	0.99	0.61	SmI	571501	4898605	1427	3	35	F		
s383	6690	D	1	M1	M1LG1	128.8	1	0.99	0.61	SmI	571503	4898596	1432	0	29	F		
s385	6690	D	11	M1	M1LG1	128.8	1	0.99	0.61	SmI	571501	4898608	1425	4	39	F		
s367	6690	E	6	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571660	4898826	1398	0	0	F		
s368	6690	H	3	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571600	4898783	1388	3	65	F		
s370	6689	F	4	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571583	4898829	1403	5	27	F		
s386	6690	H	12	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571620	4898779	1390	9	5	F		
s389	6690	B	8	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571632	4898838	1398	0	0	F		
s390	6689	B	7	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571592	4898784	1387	2	25	V		
s406	6690	B	6	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571589	4898852	1410	0	7	F		
s416	6690	F	9	M1	M1M3	14696.7	0.03	0.34	0.71	LgC	571679	4898804	1402	3	0	F		
s347	6689	F	9	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570796	4898697	1422	9	5	F		
s358	6690	G	9	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570792	4898729	1430	0	8	F		
s360	6690	D	8	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570789	4898714	1420	23	0	V		
s372	6689	E	1	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570819	4898711	1429	8	58	V		
s374	6690	A	4	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570797	4898715	1429	3	20	F		
s381	6690	E	9	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570804	4898724	1431	8	23	F		
s384	6690	A	1	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570791	4898711	1412	6	0	F		
s401	6689	G	4	M1	M1M5	4723.8	0.41	0.7	0.67	LgI	570794	4898704	1413	24	0	F		
s395	6689	F	10	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571155	4898476	1518	7	0	F		
s398	6689	A	4	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571125	4898479	1508	5	0	F		
s400	6689	F	1	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571125	4898476	1509	3	0	F		
s403	6689	F	6	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571126	4898477	1507	3	0			
s408	6690	G	5	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571127	4898465	1505	8	0	F		
s410	6689	C	9	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571131	4898467	1506	8	0	F		
s411	6690	A	2	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571156	4898476	1515	7	0	F		
s420	6689	E	7	M1	M1X1A	48367.9	0	0.15	0.63	LgC	571137	4898464	1506	6	8	F	AQUFOR 2	
s387	6690	H	5	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571419	4898324	1454	10	78	V		
s393	6689	B	5	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571415	4898340	1460	8	7	V		
s402	6689	H	7	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571411	4898327	1455	7	40	F		
s405	6690	G	4	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571410	4898342	1459	6	6	F		
s407	6689	C	7	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571413	4898344	1465	9	34	F		
s415	6689	D	4	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571421	4898324	1454	10	63	F		
s418	6689	D	9	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571417	4898342	1461	5	10	F		
s419	6689	B	9	M1	M1X2B	763.3	0.08	0.19	0.61	SmC	571413	4898347	1464	6	29	F		
s392	6690	E	8	M1	M1X7	2658.1	0.01	0.29	0.65	LgC	571340	4898171	1453	1	13	F	Focal	 bad label
s394	6690	B	7	M1	M1X7	2658.1	0.01	0.29	0.65	LgC	571312	4898217	1463	1	20	V		
s397	6690	E	7	M1	M1X7	2658.1	0.01	0.29	0.65	LgC	571342	4898169	1459	1	18	F		
s404	6690	G	3	M1	M1X7	2658.1	0.01	0.29	0.65	LgC	571310	4898220	1463	1	21	F	Focal	 bad label
s409	6689	G	9	M1	M1X7	2658.1	0.01	0.29	0.65	LgC	571321	4898189	1455	0	12	V	AQUFOR 4	
s458	6689	H	10	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569543	4899899	1462	9	60	F		
s459	6690	C	11	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569545	4899933	1479	0	0	F		
s463	6690	A	10	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569534	4899928	1476	2	34	V		
s466	6690	D	7	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569550	4899905	1467	2	69	F		
s467	6690	B	4	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569540	4899926	1474	1	9	F		
s468	6690	F	8	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569542	4899895	1479	1	67	F		
s471	6689	C	8	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569548	4899893	1465	10	68	V		
s474	6690	H	7	M2	M2M1	930.2	0.87	0.76	0.73	SmI	569540	4899929	1472	3	57	F		
s211	6689	H	9	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569724	4899148	1465	0	73			
s216	6690	A	5	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569727	4899140	1458	20	64			
s224	6690	F	4	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569770	4899123	1465	5	79			
s225	6689	B	4	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569725	4899151	NA	1	68			
s226	6689	F	2	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569726	4899149	1448	4	66			
s228	6690	F	3	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569715	4899147	1461	25	68			
s230	6690	C	5	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569770	4899131	1459	4	69			
s240	6690	B	1	M2	M2X17	3546.6	0.54	0.87	0.81	LgI	569770	4899126	1458	5	70			
s373	6690	C	6	M2	M2X21A	46947	0	0.06	0.64	LgC	569659	4899695	1455	14	28	V		
s388	6689	E	2	M2	M2X21A	46947	0	0.06	0.64	LgC	569631	4899770	1463	10	0	F		
s421	6690	H	2	M2	M2X21A	46947	0	0.06	0.64	LgC	569671	4899756	1469	10	0	F		
s424	6690	C	3	M2	M2X21A	46947	0	0.06	0.64	LgC	569657	4899712	1459	1	0	F		
s425	6689	E	11	M2	M2X21A	46947	0	0.06	0.64	LgC	569678	4899780	1477	12	0	F	AQUFOR3	
s426	6689	G	10	M2	M2X21A	46947	0	0.06	0.64	LgC	569676	4899761	1473	12	0	F	AQUFOR11	
s428	6690	B	9	M2	M2X21A	46947	0	0.06	0.64	LgC	569665	4899784	1475	4	0	F		
s433	6690	H	11	M2	M2X21A	46947	0	0.06	0.64	LgC	569677	4899739	1465	6	0	V		
s198	6689	H	5	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569732	4899519	1441	0	12			
s207	6690	G	6	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569696	4899608	1442	1	56			
s210	6689	F	3	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569702	4899598	1429	7	45			
s214	6689	A	8	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569743	4899555	1440	8	13			
s221	6690	D	6	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569696	4899612	1443	0	38			
s222	6689	E	12	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569738	4899556	1439	8	71			
s223	6689	B	3	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569705	4899602	1437	7	31			
s229	6689	D	7	M2	M2X21B	2652.2	0.22	0.48	0.59	LgC	569742	4899554	1442	7	36			
s342	6689	H	8	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569489	4899811	1428	15	73	F		
s354	6689	G	11	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569491	4899817	1419	9	64	F	AQUFOR5	
s356	6689	E	8	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569485	4899818	1427	18	68	V	AQUFOR4	
s366	6689	G	5	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569492	4899819	1425	15	71	F		
s423	6689	B	12	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569486	4899809	1432	12	60	F	AQUFOR6	
s427	6690	A	6	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569493	4899820	1428	10	73	F		
s430	6690	B	3	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569490	4899814	1430	12	59	V	AQUFOR1	
s431	6689	B	11	M2	M2X21E	1261.4	0.85	0.78	0.74	LgI	569489	4899821	1429	18	73	V	AQUFOR8	
s440	6689	A	2	M2	M2X48	584.2	0	0.05	0.51	SmC	570054	4899850	1374	3	45	F		
s442	6689	B	10	M2	M2X48	584.2	0	0.05	0.51	SmC	570060	4899861	1382	2	30	F		
s448	6689	D	3	M2	M2X48	584.2	0	0.05	0.51	SmC	570055	4899857	1381	3	33	V		
s457	6689	C	12	M2	M2X48	584.2	0	0.05	0.51	SmC	570054	4899863	1383	2	29	F		
s460	6690	D	12	M2	M2X48	584.2	0	0.05	0.51	SmC	570054	4899853	1369	4	45	V		
s470	6689	G	1	M2	M2X48	584.2	0	0.05	0.51	SmC	570055	4899855	1374	1	49	F		
s472	6689	E	10	M2	M2X48	584.2	0	0.05	0.51	SmC	570058	4899859	1376	3	44	V		
s479	6690	G	2	M2	M2X48	584.2	0	0.05	0.51	SmC	570049	4899859	1378	4	61	V		
